number,station_name,lat,lng
55,00055 - ST-SERNIN - GATIEN - ARNOULT,43.609022,1.441105
385,00385 - VITARELLES - FRONDE,43.587323,1.39462
195,00195 - RIEUX - CHANT DU MERLE,43.597355,1.459063
29,00029 - VALADE,43.605031,1.437386
400,00400 - SAINT-MARTIN-DU-TOUCH GARE,43.600614,1.372218
280,00280 - CHARBONNIÈRE - PALMIERS,43.573732,1.448768
156,00156 - EMPALOT - MÉTRO,43.579666,1.44184
242,0242 - RIMBAUD - COLETTE / PADER - FRONTON,43.63639,1.433072
373,00373 - REYNERIE - LIZOP,43.566932,1.400526
224,00224 - BELIN - SUPAERO,43.56644,1.475301
339,00339 -  GLOIRE - SAVIGNAC,43.605899,1.463601
229,00229 - AV. DE RANGUEIL - PELUDE,43.57141,1.462732
154,00154 - HOTEL DE REGION,43.589928,1.441706
96,00096 - MÉDIATHÈQUE JOSÉ CABANIS,43.609757,1.455212
65,00065 - VERDIER - GRAND ROND,43.596904,1.452596
22,00022 - CARNOT - ROLAND,43.602914,1.451719
236,00236 - TOEC - LEMIRE,43.597322,1.403694
315,000315 - FRONTON - LAPIN,43.651176,1.432557
111,00111 - BD DES MINIMES - PASSERELLE,43.615273,1.442937
243,00243 - ÉTATS-UNIS - FERRY,43.632734,1.431732
152,00152 - THÉATRE DES MAZADES,43.624114,1.438463
384,00384 GUILHERMY - LAS BRUGUES,43.567628,1.371151
334,00334  - GLOIRE - SAINT BERNARD,43.605557,1.458483
174,00174 - BOURGES - MAUNOURY - MÉLAT,43.63694,1.452615
298,00298 - ROUTE DE SEYSSES - C. DE VICOSE,43.57179,1.418239
276,00276 - MARIN - REBOUL,43.581463,1.379769
77,00077 - SAINT-CYPRIEN - METRO VIÉ,43.59778,1.431619
137,00137 - BRUNHES - FONTAINES,43.600473,1.420165
295,00295 - PLACE GUY HERSANT,43.577461,1.442964
348,00348 - REVEL - LABEGE,43.570862,1.49832
144,00144 - SUISSE - LAUSANNE,43.615988,1.42163
40,00040 - COLOMBETTE - MAURY,43.604565,1.453659
25,00025 - PLACE ROUAIX,43.599525,1.445544
74,00074 - LAGANNE - TEINTURIERS,43.596667,1.436229
371,00371 - REYNERIE - LONDRES,43.569148,1.408256
71,00071 - FER A CHEVAL - COURS DILLON,43.593227,1.435062
105,00105 - BILLIÈRE - CHAMPETRE,43.597539,1.428891
329,00329 - ATLANTA - CAUNES,43.64046,1.469314
64,00064 - PERI - MERCADIER,43.606208,1.455005
3,00003 - ALSACE - LORRAINE - POMME,43.603302,1.445454
139,00139 - BARRIERE DE LOMBEZ,43.595503,1.418503
93,00093 - BD MATABIAU - INGRES,43.614574,1.443571
81,00081 - JARDIN RAYMOND VI,43.599797,1.429521
60,00060 - PLACE ROQUELAINE,43.612615,1.448286
36,00036 - PLACE ROBERT SCHUMAN,43.609622,1.449431
227,00227 - UNIV. PAUL SABATIER MÉTRO,43.561074,1.462928
248,00248 - ROSTAND - BOUQUETINS,43.641013,1.448524
53,00053 - PLACE SAINT-JULIEN,43.608639,1.436965
343,00343 CHAUBET - CHIRAC,43.604681,1.474453
379,00379 - MAFFRE - BASSO CAMBO,43.561453,1.384967
187,00187 - DESBALS - FIEUX,43.58456,1.415683
87,00087 - LASCROSSES - LECLERC,43.609277,1.432157
358,00358 - SALADE PONSAN - COTEAUX,43.567744,1.451907
346,00346 - CITE DE L'ESPACE,43.586894,1.492386
305,00305 - ZENITH TRAMWAY,43.601356,1.411617
225,00225 - BELIN - ONERA,43.570117,1.473463
397,00397 - NÉGO SAOUMOS - ZIEGLER,43.605637,1.364053
381,00381 - LIFFARD - REGUELONGUE,43.55978,1.37828
121,00121 - SERRES - ARNAUD BERNARD,43.612627,1.438268
84,00084 - BRIENNE - MANUFACTURE,43.605381,1.432485
131,00131 - ROUTE DE BLAGNAC - BERNIES,43.611584,1.414669
368,00368 - ROUTE DE SEYSSES - BELLEFONTAINE,43.562792,1.406829
239,00239 - LESPINET - HERBETTES,43.576637,1.470245
1,00001 - POIDS DE L'HUILE,43.60419,1.445475
37,00037 - STE - LUCIE - ARCS ST - CYPRIEN,43.593516,1.430039
7,00007 - PLACE VICTOR HUGO,43.605777,1.446507
259,00259 - PLACE PAUL RICHÉ,43.647504,1.43286
367,00367 - PARC DE GIRONIS,43.564067,1.413739
304,00304 - CARTOUCHERIE TRAMWAY,43.602797,1.408133
297,00297 - AV. DE MURET - DUBOUL,43.57933,1.423325
234,00234 - RAYNAL - LOUIN,43.628145,1.451413
192,00192 - RE DE ST - SIMON - PRADO,43.587845,1.409785
48,00048 - PLACE DU SALIN,43.594461,1.443822
266,00266 - TOURAINE - AUVERGNE,43.573708,1.41394
175,00175 - BORDEROUGE - MÉTRO,43.639633,1.452569
386,00386 - BORDEBLANCHE - BROUSSIN,43.582717,1.386115
166,00166 - RANGUEIL - MÉTRO,43.57421,1.462367
135,00135 - BONNEFOY - LEMAITRE,43.622963,1.458647
79,00079 - VIGUERIE -  LANGE,43.601016,1.434129
210,00210 - TERRASSE - MONT VENTOUX,43.586086,1.482942
75,00075 - CHATEAU D'EAU,43.59859,1.436594
1031,1031 - BORNE CGB ATELIER,43.6159088,1.0001755
115,00115 - DEMOISELLES - MISTRAL,43.590692,1.453224
221,00221 - AV. DE REYNERIE - VAUQUELIN,43.576221,1.406355
294,00294 - ILE DU RAMIER - PASSERELLE CONTI,43.580259,1.434156
375,00375 - LESTAND - PERGAUD,43.564715,1.395886
67,00067 - GUESDE - OZENNE,43.594812,1.449176
188,00188 - AV. DE MURET - LAFAGE,43.584339,1.427597
118,00118 - PLACE DU BUSCA,43.588588,1.451003
354,00354 - DAURAT - CORNEMONT,43.56481,1.488996
178,00178 - BRUNAUD - PLANA,43.619291,1.468681
341,00341 - SOUPETARD - GENÊTS,43.610183,1.472401
41,00041 - RIQUET - CAMICHEL,43.602708,1.454367
90,00090 - LASCROSSES - ARNAUD BERNARD,43.611271,1.438093
68,00068  PALAIS DE JUSTICE - METRO,43.592782,1.444726
147,00147 - CHAUSSAS - DAUDET,43.619704,1.429176
109,00109 - HOTEL DE DÉPARTEMENT,43.615275,1.434944
153,00153 - PLACE ANTONIN FROIDURE,43.628672,1.448469
390,00390 - CAPELLES - ECOLE VETERINAIRE,43.601523,1.384712
262,00262 - ARTHAUD - NETWILLER,43.643358,1.455501
399,00399 - CHEMIN DE TOURNEFEUILLE - BOURIETTE,43.605078,1.376499
197,00197 - PUJOL - PÉRIGNON,43.600361,1.464039
336,00336 - COLONNE - SALONIQUE,43.610556,1.464953
388,00388 - LARDENNE - CALQUET,43.5937364,1.3911254
23,00023 - CARNOT - IDRAC,43.601372,1.452038
273,00273 - PASSERIEU - RTE DE ST-SIMON,43.579135,1.392596
396,00396 - FOURNIER - JARDINERIE,43.606486,1.36915
183,00183 - RUE DE CUGNAUX - GRAVETTE,43.593147,1.424313
376,00376 - EISENHOWER - LESTANG,43.5599624,1.3944267
126,00126 - BONNEFOY - ARAGO,43.616939,1.454243
255,00255 - SELLIER - MOUETTES,43.576893,1.440049
233,00233 - NARBONNE - SAHUQUE,43.566528,1.458648
254,00254 - VESTREPAIN - LOT,43.583264,1.407055
21,00021 - CARNOT - LABEDA,43.604079,1.450158
62,00062 - JAURES - BONREPOS,43.609216,1.453549
370,00370 - PLACE DES TIBAOUS,43.550424,1.386158
244,00244 - RENAN - VITRY,43.635856,1.443828
24,00024 - PLACE SAINT-ETIENNE,43.600055,1.449273
245,00245 - GRANDE-BRETAGNE - BADIOU,43.599732,1.415372
196,00196 - PUJOL - GOUJON,43.601719,1.458019
281,00281 - JARDIN NIEL,43.578687,1.446733
260,00260 - FRONTON - DUCLOS,43.644963,1.433998
228,00228 - FAC. DE PHARMACIE MÉTRO,43.568165,1.464353
124,00124 - EGLISE DES MINIMES,43.618287,1.436857
207,00207 - MAL CLABEL - AUDE,43.583202,1.481757
11,00011 - PLACE DE LA DAURADE,43.601888,1.440368
319,00319 - ROUTE DE LAUNAGUET - DELBO,43.651318,1.438377
186,00186 - DESBALS - BOUALAM,43.579171,1.410939
235,00235 - LA VACHE MÉTRO,43.633454,1.435519
288,000288 - METZ - MARCHANDS,43.600021,1.44293
394,00394 - BAYONNE - FLAMBERE,43.608267,1.389792
150,00150 - CURIE - CAMPISTRON,43.62563,1.439513
252,0252 - CATELLAN - CAZENEUVE,43.626914,1.444986
184,00184 - MICHOUN - HYERES,43.62724,1.469293
271,00271 - ANCELY TRAMWAY,43.619301,1.396986
33,00033 - SAINT - BERNARD - BERALDI,43.608605,1.4436
161,00161 - AV . DE RANGUEIL  - BEDOUCE,43.576773,1.454742
172,00172 - NETWILLER - EBELOT,43.642859,1.461124
391,00391 - LARDENNE GARE,43.597343,1.383108
120,00120 - BARCELONE - SANIERES,43.610343,1.420407
268,00268 - PLACE JOSEPH BAYLAC,43.608597,1.397192
217,00217 - AMOUROUX - ST-TROPEZ,43.629655,1.466259
82,00082 - SÉJOURNÉ - PT DES CATALANS,43.605804,1.428054
362,00362 - POUVOURVILLE - GOSCINNY,43.550243,1.457515
173,00173 - BOURGES - MAUNOURY - SÉGLA,43.633171,1.450638
70,00070 - PLACE DU FER A CHEVAL,43.592366,1.434121
141,00141 - FONTAINE LESTANG METRO,43.587389,1.417918
108,00108 - MARQUETTE - SÉBASTOPOL,43.612279,1.428827
85,00085 - BARCELONE - LECLERC,43.606847,1.430615
331,00331 - LAVAUR - DALOU,43.622578,1.462668
202,00202 - SAINT-EXUPERY - BUTTE,43.581632,1.475865
102,00102 -  MISTRAL - FLEURANCE,43.593567,1.453066
