lat,lng,nb
43.609022,1.441105,3
43.587323,1.39462,6
43.597355,1.459063,1
43.605031,1.437386,2
43.600614,1.372218,5
43.573732,1.448768,0
43.579666,1.44184,2
43.63639,1.433072,0
43.566932,1.400526,1
43.56644,1.475301,6
43.605899,1.463601,6
43.57141,1.462732,4
43.589928,1.441706,1
43.609757,1.455212,0
43.596904,1.452596,0
43.602914,1.451719,5
43.597322,1.403694,0
43.651176,1.432557,0
43.615273,1.442937,0
43.624114,1.438463,6
43.632734,1.431732,0
43.567628,1.371151,1
43.605557,1.458483,6
43.63694,1.452615,3
43.57179,1.418239,1
43.581463,1.379769,4
43.59778,1.431619,4
43.600473,1.420165,3
43.577461,1.442964,1
43.570862,1.49832,3
43.615988,1.42163,0
43.604565,1.453659,0
43.599525,1.445544,0
43.596667,1.436229,0
43.569148,1.408256,5
43.593227,1.435062,0
43.597539,1.428891,3
43.64046,1.469314,2
43.606208,1.455005,2
43.603302,1.445454,4
43.614574,1.443571,3
43.595503,1.418503,3
43.599797,1.429521,4
43.612615,1.448286,5
43.609622,1.449431,3
43.561074,1.462928,1
43.641013,1.448524,4
43.608639,1.436965,1
43.604681,1.474453,5
43.561453,1.384967,2
43.58456,1.415683,3
43.609277,1.432157,1
43.567744,1.451907,1
43.586894,1.492386,5
43.601356,1.411617,3
43.570117,1.473463,6
43.605637,1.364053,2
43.55978,1.37828,1
43.612627,1.438268,0
43.605381,1.432485,4
43.611584,1.414669,5
43.562792,1.406829,1
43.576637,1.470245,4
43.60419,1.445475,2
43.593516,1.430039,6
43.605777,1.446507,1
43.647504,1.43286,3
43.564067,1.413739,3
43.602797,1.408133,5
43.57933,1.423325,4
43.628145,1.451413,1
43.587845,1.409785,5
43.594461,1.443822,0
43.639633,1.452569,3
43.573708,1.41394,3
43.582717,1.386115,3
43.57421,1.462367,1
43.622963,1.458647,5
43.601016,1.434129,4
43.586086,1.482942,4
43.59859,1.436594,0
43.6159088,1.0001755,0
43.576221,1.406355,6
43.580259,1.434156,3
43.564715,1.395886,6
43.594812,1.449176,6
43.584339,1.427597,0
43.588588,1.451003,3
