number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
55,toulouse,00055 - ST-SERNIN - GATIEN - ARNOULT,2 RUE GATIEN ARNOULT,"{'lat': 43.609022, 'lng': 1.441105}",False,False,15,9,3,OPEN,1731945422000
385,toulouse,00385 - VITARELLES - FRONDE,"21, chemin de la Fronde","{'lat': 43.587323, 'lng': 1.39462}",False,False,13,7,5,OPEN,1731945445000
195,toulouse,00195 - RIEUX - CHANT DU MERLE,FACE 15 RUE PIERRE LAROUSSE,"{'lat': 43.597355, 'lng': 1.459063}",False,False,18,15,2,OPEN,1731945064000
29,toulouse,00029 - VALADE,31 RUE VALADE,"{'lat': 43.605031, 'lng': 1.437386}",False,False,21,19,1,OPEN,1731945457000
400,toulouse,00400 - SAINT-MARTIN-DU-TOUCH GARE,"4, rue Marie Louise Dissard (sur la contre allée face au parking de la halte)","{'lat': 43.600614, 'lng': 1.372218}",False,False,13,3,10,OPEN,1731945156000
280,toulouse,00280 - CHARBONNIÈRE - PALMIERS,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,"{'lat': 43.573732, 'lng': 1.448768}",False,False,18,16,1,OPEN,1731945271000
156,toulouse,00156 - EMPALOT - MÉTRO,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,"{'lat': 43.579666, 'lng': 1.44184}",True,False,18,12,3,OPEN,1731945011000
242,toulouse,0242 - RIMBAUD - COLETTE / PADER - FRONTON,8 RUE HILAIRE PADER,"{'lat': 43.63639, 'lng': 1.433072}",False,False,16,9,1,OPEN,1731945475000
373,toulouse,00373 - REYNERIE - LIZOP,,"{'lat': 43.566932, 'lng': 1.400526}",False,False,13,5,5,OPEN,1731945370000
224,toulouse,00224 - BELIN - SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,"{'lat': 43.56644, 'lng': 1.475301}",False,False,20,9,8,OPEN,1731945502000
339,toulouse,00339 -  GLOIRE - SAVIGNAC,"57, rue Labat de Savignac, 40m après angle rue de la Gloire","{'lat': 43.605899, 'lng': 1.463601}",False,False,13,12,0,OPEN,1731945082000
229,toulouse,00229 - AV. DE RANGUEIL - PELUDE,129 AV DE RANGUEIL,"{'lat': 43.57141, 'lng': 1.462732}",False,False,18,12,5,OPEN,1731945549000
154,toulouse,00154 - HOTEL DE REGION,50 M AVANT 4 RUE DES GALLOIS,"{'lat': 43.589928, 'lng': 1.441706}",False,False,19,16,1,OPEN,1731945290000
96,toulouse,00096 - MÉDIATHÈQUE JOSÉ CABANIS,50 RUE DU GENERAL COMPANS,"{'lat': 43.609757, 'lng': 1.455212}",True,False,25,21,3,OPEN,1731945509000
65,toulouse,00065 - VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,"{'lat': 43.596904, 'lng': 1.452596}",False,False,27,25,2,OPEN,1731945519000
22,toulouse,00022 - CARNOT - ROLAND,24 BD LAZARE CARNOT,"{'lat': 43.602914, 'lng': 1.451719}",False,False,20,20,0,OPEN,1731945067000
236,toulouse,00236 - TOEC - LEMIRE,RUE DE L'ABBE JULES LEMIRE ANGLE VOIE DU TOEC,"{'lat': 43.597322, 'lng': 1.403694}",False,False,20,14,3,OPEN,1731945556000
315,toulouse,000315 - FRONTON - LAPIN,"269, Avenue de Fronton","{'lat': 43.651176, 'lng': 1.432557}",False,False,13,11,1,OPEN,1731945131000
111,toulouse,00111 - BD DES MINIMES - PASSERELLE,38B BD DES MINIMES,"{'lat': 43.615273, 'lng': 1.442937}",False,False,27,26,0,OPEN,1731945398000
152,toulouse,00152 - THÉATRE DES MAZADES,10 AV DES MAZADES,"{'lat': 43.624114, 'lng': 1.438463}",False,False,20,14,4,OPEN,1731945348000
243,toulouse,00243 - ÉTATS-UNIS - FERRY,FACE 97 AV DES ETATS-UNIS ANGLE JULES FERRY,"{'lat': 43.632734, 'lng': 1.431732}",False,False,17,14,3,OPEN,1731945475000
384,toulouse,00384 GUILHERMY - LAS BRUGUES,,"{'lat': 43.567628, 'lng': 1.371151}",False,False,13,10,3,OPEN,1731945458000
334,toulouse,00334  - GLOIRE - SAINT BERNARD,"1, rue Saint-Bertrand","{'lat': 43.605557, 'lng': 1.458483}",False,False,13,12,0,OPEN,1731945260000
174,toulouse,00174 - BOURGES - MAUNOURY - MÉLAT,41 AV MAURICE BOURGES MAUNOURY,"{'lat': 43.63694, 'lng': 1.452615}",False,False,19,18,1,OPEN,1731945363000
298,toulouse,00298 - ROUTE DE SEYSSES - C. DE VICOSE,Route de Seysses - C. de Viçose,"{'lat': 43.57179, 'lng': 1.418239}",False,False,13,8,3,OPEN,1731945317000
276,toulouse,00276 - MARIN - REBOUL,FACE 1 CHEMIN DU MARIN,"{'lat': 43.581463, 'lng': 1.379769}",False,False,18,8,8,OPEN,1731945541000
77,toulouse,00077 - SAINT-CYPRIEN - METRO VIÉ,2 PL INTERIEURE SAINT-CYPRIEN,"{'lat': 43.59778, 'lng': 1.431619}",False,False,13,5,8,OPEN,1731945352000
137,toulouse,00137 - BRUNHES - FONTAINES,68 BD JEAN BRUNHES FACE AU 53,"{'lat': 43.600473, 'lng': 1.420165}",False,False,15,5,8,OPEN,1731945470000
295,toulouse,00295 - PLACE GUY HERSANT,"Place Guy Hersant, angle rue Alfred Rambaud","{'lat': 43.577461, 'lng': 1.442964}",False,False,13,6,6,OPEN,1731945501000
348,toulouse,00348 - REVEL - LABEGE,", Rond-point route de Revel / route de Labège face Jardiland et Midas,","{'lat': 43.570862, 'lng': 1.49832}",False,False,13,6,5,OPEN,1731945011000
144,toulouse,00144 - SUISSE - LAUSANNE,62 BD DE SUISSE,"{'lat': 43.615988, 'lng': 1.42163}",False,False,22,6,15,OPEN,1731945529000
