id_evenement_api,ville_id,nom,description,date_debut,date_fin,latitude,longitude,adresse
FMAMID031V50XSB0,1,LE DÎNER: SPECIAL NOËL,Le Studio 55 fête Noël,2024-12-28,2024-12-28,43.57706,1.47903,55 Avenue Louis Breguet
FMAMID031V50XCBQ,1,"À LA PAGE, UNE ÉPOPÉE LIBRESQUE","Deux personnages intrépides vous invitent à la redécouverte des… LIVRES ! Oui ! Ces objets étonnants, bizarres, mystérieux, singuliers qui proposent à nos exploratrices un terrain de jeu jubilatoire.
A partir de 1 ans.",2024-11-06,2024-11-30,43.60941,1.43917,30 Rue de la Chaîne
FMAMID031V50XOCA,1,AHMED SYLLA,"Origami : ou l’art du pliage.
Je vois nos destins comme des origamis qui se plient à des choix, des joies et des peines, des victoires et des échecs...",2025-02-09,2025-02-09,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XMXJ,1,"ALAIN SOUCHON, OURS ET PIERRE SOUCHON","Spectacle Odyssud Hors les murs.
Voici donc Alain, Pierre et Charles (plus connu sous son nom d’artiste, Ours) prêts à sillonner la France, cinq ans après la sortie de l’album Âme fifties, qui était déjà le fruit d’une étroite collaboration du trio.",2025-03-29,2025-03-30,43.60029,1.45457,11 Place Dominique-Martin Dupuy
FMAMID031V50RM97,1,BALADE URBAINE DE SAINT-CYPRIEN - AU NOM DE LA CHARITÉ,"Organisée par l'association En Quête de Patrimoine, la visite sera animée par Aline et Patrick, bénévoles à l’association.",2024-11-22,2024-11-24,43.59971,1.43303,Rue du Pont Saint-Pierre
FMAMID031V50XN13,1,BESTIAIRES ET CROQUIS,"En lien avec l’Opéra Urbain « Le Gardien du Temple, opus 2-La Porte des Ténèbres » la médiathèque José-Cabanis présente une exposition de croquis et de maquettes de François Delaroziere et de la Compagnie La Machine.",2024-10-15,2025-01-19,43.61026,1.455431,1 Allée Jacques Chaban-delmas
FMAMID031V50W4TC,1,BIEN MANGER À ST-CYP',"À St-Cyp', bien manger est un art de vivre. Alors que diriez-vous d'une balade immersive et gourmande comme si vous étiez un habitant du quartier ? À vous l'histoire qui met l'eau à la bouche et la dégustation de produits de qualité!",2024-10-23,2024-11-23,43.59866,1.43681,1 Place Charles Laganne
FMAMID031V50XOC6,1,BOLÉRO,"HOMMAGE à MAURICE RAVEL.
Pièce phare de l’histoire de la musique et de la danse, le Boléro de Maurice Ravel est l’une des œuvres françaises les plus reconnues au monde.",2025-02-08,2025-02-08,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50FDMG,1,CAP SUR TOULOUSE MÉTROPOLE : L'UNION,"Voici une commune qui porte bien son nom ! De son olivier millénaire à sa place San Blago di Callalta, de ses vestiges antiques à son château de Malpagat, L'Union a su parfaitement allier patrimoine ancien et contemporain.",2024-12-21,2024-12-21,43.656899,1.4842267,6 bis avenue des Pyrénées
FMAMID031V50W22S,1,CHAMBER ORCHESTRA OF EUROPE,"LES GRANDS INTERPRÈTES
Dans son répertoire, le Chamber Orchestra of Europe est l’une des références mondiales !",2025-03-26,2025-03-26,43.5998852,1.45417761,1 place Dupuy
FMAMID031V50ORNL,1,CHÂTEAU ET PARC DE REYNERIE,"En partenariat avec l'Espace Patrimoine. Le château de Reynerie est un site méconnu, niché au cœur du Mirail.  Cette folie architecturale du XVIIIe siècle recèle bien des secrets.",2024-09-14,2024-12-14,43.57279,1.39696,160 Chemin de Lestang
FMAMID031V50W61C,1,COPPÉLIA,"Léo Delibes (1836 - 1891) 
Accomplissement du ballet-pantomime, Coppélia, créé le 25 mai 1870, est l’un des ballets les plus représentatifs de l’école française, basé sur le style raffiné enseigné au Ballet de l’Opéra de Paris.",2025-04-18,2025-04-25,43.60447,1.44379,Place du Capitole
FMAMID031V50XOUL,1,ÉCLATS CUIVRÉS,"Les Clefs de Saint-Pierre s’invitent à l'Auditorium Saint-Pierre des Cuisines pour une heure de musique à prix doux, toujours en compagnie des musiciens de l’Orchestre National du Capitole !",2025-01-06,2025-01-06,43.6043737,1.4357169,12 place Saint-Pierre
FMAMID031V50XP2A,1,ELECTRO SYMPHONY,LORDS OF THE SOUND PRÉSENTE SON NOUVEAU SPECTACLE : ELECTRO SYMPHONY,2025-05-07,2025-05-07,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XN3F,1,EVA JOSPIN,L'artiste EVA JOSPIN présente un ensemble d’œuvres créées ou sélectionnées pour construire un dialogue avec l’architecture de la chapelle de La Grave.,2024-12-11,2025-03-30,43.60071,1.43381,23 Rue du Pont Saint-Pierre
FMAMID031V50FHWI,1,FESTIVAL TERRES D'AILLEURS,Un festival sous le signe du voyage et de la découverte !,2024-11-21,2024-11-24,43.5939499,1.44928379,35 Allées Jules-Guesde
FMAMID031V50NZZR,1,FRAGMENTS #4,La Chambre de Métiers et de l’Artisanat Occitanie lance la 4ème édition de ce salon dédié aux métiers d’art. Il rassemble plus de 80 professionnels des métiers d’art !,2024-11-28,2024-12-01,43.5995132,1.4364471,2 Rue Charles Viguerie
FMAMID031V50XO60,1,GAËL - MIRAGE,"Embarquez pour un vol magique !
De`s son plus jeune a^ge, Gae¨l, a toujours eu deux re^ves dans sa vie, celui de devenir un jour magicien pour faire re^ver petits et grands mais aussi celui d’e^tre un jour pilote d’avion de chasse et plus particulie`rement de la ce´le`bre Patrouille de France.",2025-01-18,2025-01-18,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOF2,1,GAZO,"Un rappeur, c’est avant tout une voix. Celle de Gazo est à l’image du personnage : éraillée, grave, et menaçante.",2025-02-21,2025-02-21,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOCN,1,GIMS,"GIMS, « Le Dernier Tour » : une tournée à ne pas manquer !",2025-02-12,2025-02-12,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOYN,1,LA FOUINE,"A l'occasion de ses 20 ans de carrière, La Fouine est de retour sur scène. Considéré comme l'un des plus grands talents du rap français, il a su marquer l'histoire et toute une génération avec ses titres emblématiques.",2025-04-15,2025-04-15,43.598264,1.4092542,11 Avenue Raymond Badiou
FMAMID031V50XOX5,1,LA NUIT DU PRINTEMPS,"La Nuit du Printemps 2025 !
L'événement phare du festival du Printemps du Rire",2025-03-28,2025-03-28,43.598264,1.4092542,11 Avenue Raymond Badiou
