timestamp,number,status,available_bike_stands,available_bikes,percentage_cloud_coverage,visibility_distance,percentage_humidity,current_temperature,feels_like_temperature,is_rainy
2024-12-11 19:00:00,44,1,16,2,100.0,10000.0,87.0,5.99,4.46,0.0
2024-12-11 19:15:00,44,1,16,2,100.0,10000.0,87.0,5.99,4.6025,0.0
2024-12-11 19:30:00,44,1,15,3,100.0,10000.0,87.0,5.99,4.745,0.0
2024-12-11 19:45:00,44,1,15,3,100.0,10000.0,87.0,5.99,4.8875,0.0
2024-12-11 20:00:00,44,1,15,3,100.0,10000.0,87.0,5.99,5.03,0.0
2024-12-11 20:15:00,44,1,15,3,100.0,9750.0,87.0,5.99,5.2700000000000005,0.0
2024-12-11 20:30:00,44,1,15,3,100.0,9500.0,87.0,5.99,5.51,0.0
2024-12-11 20:45:00,44,1,14,4,100.0,9250.0,87.0,5.99,5.75,0.0
2024-12-11 21:00:00,44,1,13,5,100.0,9000.0,87.0,5.99,5.99,0.0
2024-12-11 21:15:00,44,1,13,5,100.0,9250.0,85.5,6.24,6.035,0.0
2024-12-11 21:30:00,44,1,13,5,100.0,9500.0,84.0,6.49,6.08,0.0
2024-12-11 21:45:00,44,1,13,5,100.0,9750.0,82.5,6.74,6.125,0.0
2024-12-11 22:00:00,44,1,13,5,100.0,10000.0,81.0,6.99,6.17,0.0
2024-12-11 22:15:00,44,1,13,5,100.0,10000.0,81.0,6.99,6.17,0.0
2024-12-11 22:30:00,44,1,13,5,100.0,10000.0,81.0,6.99,6.17,0.0
2024-12-11 22:45:00,44,1,16,2,100.0,10000.0,81.0,6.99,6.17,0.0
2024-12-11 23:00:00,44,1,16,2,100.0,10000.0,81.0,6.99,6.17,0.0
2024-12-11 23:15:00,44,1,16,2,100.0,10000.0,82.5,6.74,5.885,0.0
2024-12-11 23:30:00,44,1,16,2,100.0,10000.0,84.0,6.49,5.6,0.0
2024-12-11 23:45:00,44,1,17,1,100.0,10000.0,85.5,6.24,5.315,0.0
2024-12-12 00:00:00,44,1,17,1,100.0,10000.0,87.0,5.99,5.03,0.0
2024-12-12 00:15:00,44,1,16,1,93.75,9250.0,87.0,5.74,5.0200000000000005,0.0
2024-12-12 00:30:00,44,1,17,1,87.5,8500.0,87.0,5.49,5.01,0.0
2024-12-12 00:45:00,44,1,17,1,81.25,7750.0,87.0,5.24,5.0,0.0
2024-12-12 01:00:00,44,1,17,1,75.0,7000.0,87.0,4.99,4.99,0.0
2024-12-12 01:15:00,44,1,17,1,75.0,7000.0,87.0,4.99,4.7125,0.0
2024-12-12 01:30:00,44,1,17,1,75.0,7000.0,87.0,4.99,4.4350000000000005,0.0
2024-12-12 01:45:00,44,1,17,0,75.0,7000.0,87.0,4.99,4.1575,0.0
2024-12-12 02:00:00,44,1,17,1,75.0,7000.0,87.0,4.99,3.88,0.0
2024-12-12 02:15:00,44,1,17,1,72.0,6750.0,87.0,4.74,3.9075,0.0
2024-12-12 02:30:00,44,1,17,1,69.0,6500.0,87.0,4.49,3.935,0.0
2024-12-12 02:45:00,44,1,17,1,66.0,6250.0,87.0,4.24,3.9625,0.0
2024-12-12 03:00:00,44,1,17,1,63.0,6000.0,87.0,3.99,3.99,0.0
2024-12-12 03:15:00,44,1,17,1,66.0,5750.0,88.5,3.99,3.99,0.0
2024-12-12 03:30:00,44,1,17,1,69.0,5500.0,90.0,3.99,3.99,0.0
2024-12-12 03:45:00,44,1,17,1,72.0,5250.0,91.5,3.99,3.99,0.0
2024-12-12 04:15:00,44,1,18,0,81.25,5250.0,93.0,3.99,3.99,0.0
2024-12-12 04:30:00,44,1,18,0,87.5,5500.0,93.0,3.99,3.99,0.0
2024-12-12 04:45:00,44,1,18,0,93.75,5750.0,93.0,3.99,3.99,0.0
2024-12-12 05:00:00,44,1,18,0,100.0,6000.0,93.0,3.99,3.99,0.0
2024-12-12 05:15:00,44,1,18,0,80.0,6250.0,94.75,3.74,3.3925,0.0
2024-12-12 05:30:00,44,1,18,0,60.0,6500.0,96.5,3.49,2.795,0.0
2024-12-12 05:45:00,44,1,18,0,40.0,6750.0,98.25,3.24,2.1975,0.0
2024-12-12 06:00:00,44,1,14,4,20.0,7000.0,100.0,2.99,1.6,0.0
2024-12-12 06:15:00,44,1,12,6,20.0,6750.0,98.25,2.74,1.6975,0.0
2024-12-12 06:30:00,44,1,12,6,20.0,6500.0,96.5,2.49,1.795,0.0
2024-12-12 06:45:00,44,1,12,6,20.0,6250.0,94.75,2.24,1.8925,0.0
2024-12-12 07:00:00,44,1,12,6,20.0,6000.0,93.0,1.99,1.99,0.0
2024-12-12 07:30:00,44,1,13,5,51.0,6500.0,96.5,1.99,1.225,0.0
2024-12-12 07:45:00,44,1,13,5,66.5,6750.0,98.25,1.99,0.8425,0.0
2024-12-12 08:00:00,44,1,16,2,82.0,7000.0,100.0,1.99,0.46,0.0
2024-12-12 08:15:00,44,1,16,2,79.5,6750.0,98.25,2.24,1.0925,0.0
2024-12-12 08:30:00,44,1,17,1,77.0,6500.0,96.5,2.49,1.725,0.0
2024-12-12 08:45:00,44,1,17,1,74.5,6250.0,94.75,2.74,2.3575000000000004,0.0
2024-12-12 09:00:00,44,1,18,0,72.0,6000.0,93.0,2.99,2.99,0.0
2024-12-12 09:15:00,44,1,17,1,54.0,7000.0,90.0,3.74,3.74,0.0
2024-12-12 09:30:00,44,1,18,0,36.0,8000.0,87.0,4.49,4.49,0.0
2024-12-12 09:45:00,44,1,17,1,18.0,9000.0,84.0,5.24,5.24,0.0
2024-12-12 10:00:00,44,1,18,0,0.0,10000.0,81.0,5.99,5.99,0.0
2024-12-12 10:15:00,44,1,18,0,10.0,10000.0,79.75,6.49,6.0025,0.0
2024-12-12 10:30:00,44,1,18,0,20.0,10000.0,78.5,6.99,6.015000000000001,0.0
2024-12-12 10:45:00,44,1,17,1,30.0,10000.0,77.25,7.49,6.0275,0.0
2024-12-12 11:00:00,44,1,17,1,40.0,10000.0,76.0,7.99,6.04,0.0
2024-12-12 11:15:00,44,1,17,1,55.0,10000.0,74.75,8.24,6.425,0.0
2024-12-12 11:30:00,44,1,18,0,70.0,10000.0,73.5,8.49,6.8100000000000005,0.0
2024-12-12 11:45:00,44,1,18,0,85.0,10000.0,72.25,8.74,7.195,0.0
2024-12-12 12:00:00,44,1,18,0,100.0,10000.0,71.0,8.99,7.58,0.0
2024-12-12 12:15:00,44,1,18,0,93.75,10000.0,71.0,9.24,7.9675,0.0
2024-12-12 12:30:00,44,1,17,1,87.5,10000.0,71.0,9.49,8.355,0.0
2024-12-12 12:45:00,44,1,18,0,81.25,10000.0,71.0,9.74,8.7425,0.0
2024-12-12 13:00:00,44,1,18,0,75.0,10000.0,71.0,9.99,9.13,0.0
2024-12-12 13:15:00,44,1,18,0,66.25,10000.0,71.0,9.99,9.0375,0.0
2024-12-12 13:30:00,44,1,10,8,57.5,10000.0,71.0,9.99,8.945,0.0
2024-12-12 13:45:00,44,1,8,10,48.75,10000.0,71.0,9.99,8.8525,0.0
2024-12-12 14:00:00,44,1,8,10,40.0,10000.0,71.0,9.99,8.76,0.0
2024-12-12 14:15:00,44,1,7,11,48.75,10000.0,72.25,9.99,8.8525,0.0
2024-12-12 14:45:00,44,1,6,12,66.25,10000.0,74.75,9.99,9.0375,0.0
2024-12-12 15:00:00,44,1,8,10,75.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 15:15:00,44,1,10,8,81.25,10000.0,76.0,9.99,9.13,0.0
2024-12-12 15:45:00,44,1,8,10,93.75,10000.0,76.0,9.99,9.13,0.0
2024-12-12 16:00:00,44,1,8,10,100.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 16:15:00,44,1,10,8,100.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 16:30:00,44,1,9,9,100.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 16:45:00,44,1,10,8,100.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 17:00:00,44,1,10,8,100.0,10000.0,76.0,9.99,9.13,0.0
2024-12-12 17:15:00,44,1,11,7,93.75,10000.0,77.25,9.74,8.96,0.25
2024-12-12 17:30:00,44,1,12,6,87.5,10000.0,78.5,9.49,8.79,0.5
2024-12-12 18:00:00,44,1,12,6,75.0,10000.0,81.0,8.99,8.45,1.0
2024-12-12 18:15:00,44,1,12,6,56.25,10000.0,82.5,8.74,8.334999999999999,1.0
