timestamp,percentage_cloud_coverage,visibility_distance,percentage_humidity,current_temperature,feels_like_temperature
2024-12-10 08:50:39.121000,51,10000,93,3.99,0.26
2024-12-10 09:15:30.656000,51,10000,93,3.99,0.26
2024-12-10 09:42:27.274000,100,10000,87,4.99,2.09
2024-12-10 09:45:06.086000,100,10000,87,4.99,2.09
2024-12-10 16:25:37.984000,100,10000,87,4.99,2.43
2024-12-10 16:26:42.407000,100,10000,87,4.99,2.43
2024-12-10 21:15:20.951000,0,10000,87,4.99,3.3
2024-12-11 16:28:57.739000,100,10000,76,6.99,6.17
2024-12-11 16:29:24.621000,100,10000,76,6.99,6.17
2024-12-11 18:00:25.783000,100,10000,81,6.99,6.17
2024-12-11 19:00:26.948000,100,10000,87,5.99,4.46
2024-12-11 20:00:27.509000,100,10000,87,5.99,5.03
2024-12-11 21:00:26.020000,100,9000,87,5.99,5.99
2024-12-11 22:00:24.746000,100,10000,81,6.99,6.17
2024-12-11 23:00:27.100000,100,10000,81,6.99,6.17
2024-12-12 00:00:33.664000,100,10000,87,5.99,5.03
2024-12-12 01:00:26.290000,75,7000,87,4.99,4.99
2024-12-12 02:00:25.126000,75,7000,87,4.99,3.88
2024-12-12 03:00:26.078000,63,6000,87,3.99,3.99
2024-12-12 04:00:26.369000,75,5000,93,3.99,3.99
2024-12-12 05:00:26.516000,100,6000,93,3.99,3.99
2024-12-12 06:00:24.998000,20,7000,100,2.99,1.6
2024-12-12 07:00:26.203000,20,6000,93,1.99,1.99
2024-12-12 08:00:31.952000,82,7000,100,1.99,0.46
2024-12-12 09:00:29.635000,72,6000,93,2.99,2.99
2024-12-12 10:00:27.824000,0,10000,81,5.99,5.99
2024-12-12 11:00:27.544000,40,10000,76,7.99,6.04
2024-12-12 12:00:27.568000,100,10000,71,8.99,7.58
2024-12-12 13:00:29.352000,75,10000,71,9.99,9.13
2024-12-12 14:00:30.791000,40,10000,71,9.99,8.76
2024-12-12 15:00:27.415000,75,10000,76,9.99,9.13
2024-12-12 16:00:28.007000,100,10000,76,9.99,9.13
2024-12-12 17:00:26.406000,100,10000,76,9.99,9.13
2024-12-12 18:00:24.967000,75,10000,81,8.99,8.45
2024-12-12 19:00:28.781000,0,10000,87,7.99,7.99
2024-12-12 20:00:28.234000,100,10000,93,6.99,6.17
